numeroAtto,numeroAttoAlfanumerico,dataGU,numeroGU,codiceRedazionale,titoloAtto,giornoProvvedimento,meseProvvedimento,meseProvvedimentoIta,meseProvvedimentoEng,annoProvvedimento,numeroProvvedimento,denominazioneAtto,numeroSupplemento,tipoSupplemento,suffissoArticoloSelezionato,subArt1ArticoloSelezionato,hlTitoli,hlArticoli,annoDataGU,dataGUStr,tipoSupplementoIt,tipoSupplementoEn,dataEmanazione,descrizioneAtto,dataUltimaModifica,ultimiAttiModificanti,normattiva_uri
10,10,2026-01-30,24,26G00022,[Testo unico delle disposizioni legislative in materia di imposta  sul valore aggiunto. (26G00022)  ],19,1,gennaio,January,2026,10,DECRETO LEGISLATIVO,4,SO,1,0,,,2026,30-01-2026, - Suppl. Ordinario n. 4, - Ordinary Suppl. n. 4,2026-01-19T00:00:00Z,"DECRETO LEGISLATIVO 19 gennaio 2026, n. 10",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2026-01-19;10
9,9,2026-01-27,21,26G00024,[Disposizioni in  materia  di  sicurezza  delle  attivita'  subacquee. (26G00024)  ],26,1,gennaio,January,2026,9,LEGGE,0,NO,1,0,,,2026,27-01-2026,,,2026-01-26T00:00:00Z,"LEGGE 26 gennaio 2026, n. 9",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2026-01-26;9
8,8,2026-01-27,21,26G00023,"[Conversione  in  legge,  con  modificazioni,  del  decreto-legge   1° dicembre 2025, n. 180,  recante  misure  urgenti  per  assicurare  la continuita' operativa degli stabilimenti ex ILVA (26G00023)  ]",22,1,gennaio,January,2026,8,LEGGE,0,NO,1,0,,,2026,27-01-2026,,,2026-01-22T00:00:00Z,"LEGGE 22 gennaio 2026, n. 8",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2026-01-22;8
221,221,2026-01-27,21,26G00021,[Regolamento recante indicazioni  nazionali  per  il  curricolo  della scuola dell'infanzia e del primo ciclo d'istruzione. (26G00021)  ],9,12,dicembre,December,2025,221,DECRETO,0,NO,1,0,,,2026,27-01-2026,,,2025-12-09T00:00:00Z,"DECRETO 9 dicembre 2025, n. 221",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto:2025-12-09;221
7,7,2026-01-26,20,26G00020,"[Ratifica ed esecuzione dell'Accordo tra il Governo  della  Repubblica italiana e il Governo del Regno del Bahrein  sulla  cooperazione  nei settori  della  cultura,  dell'istruzione,   della   scienza,   della tecnologia e dell'informazione, fatto a  Roma  il  4  febbraio  2020. (26G00020)  ]",13,1,gennaio,January,2026,7,LEGGE,0,NO,1,0,,,2026,26-01-2026,,,2026-01-13T00:00:00Z,"LEGGE 13 gennaio 2026, n. 7",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2026-01-13;7
220,220,2026-01-24,19,26G00019,"[Regolamento  recante  aggiornamento  dell'allegato  II  del   decreto legislativo 2 febbraio 2021, n. 19, relativo all'elenco dei posti  di controllo frontalieri  nazionali  e  relativi  centri  di  ispezione. (26G00019)  ]",10,11,novembre,November,2025,220,DECRETO,0,NO,1,0,,,2026,24-01-2026,,,2025-11-10T00:00:00Z,"DECRETO 10 novembre 2025, n. 220",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto:2025-11-10;220
6,6,2026-01-23,18,26G00017,"[Ratifica  ed  esecuzione  dell'Accordo  di  cooperazione   culturale, scientifica e tecnica tra il Governo della Repubblica italiana  e  il Governo della Repubblica del Camerun, fatto a Yaounde'  il  17  marzo 2016. (26G00017)  ]",13,1,gennaio,January,2026,6,LEGGE,0,NO,1,0,,,2026,23-01-2026,,,2026-01-13T00:00:00Z,"LEGGE 13 gennaio 2026, n. 6",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2026-01-13;6
219,219,2026-01-22,17,26G00015,[Regolamento recante  la  disciplina  attuativa  della  normativa  sui controlli degli strumenti di misura in  servizio  e  sulla  vigilanza sugli  strumenti  di  misura  conformi  alla  normativa  nazionale  e europea. (26G00015)  ],26,11,novembre,November,2025,219,DECRETO,0,NO,1,0,,,2026,22-01-2026,,,2025-11-26T00:00:00Z,"DECRETO 26 novembre 2025, n. 219",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto:2025-11-26;219
5,5,2026-01-20,15,26G00018,"[Attuazione della direttiva (UE) 2023/2413 del  Parlamento  europeo  e del Consiglio, del 18 ottobre 2023, che modifica  la  direttiva  (UE) 2018/2001, il regolamento (UE) 2018/1999 e la direttiva  n.  98/70/CE per quanto riguarda la promozione dell'energia da fonti rinnovabili e che abroga la direttiva (UE) 2015/652 del Consiglio. (26G00018)  ]",9,1,gennaio,January,2026,5,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,20-01-2026,,,2026-01-09T00:00:00Z,"DECRETO LEGISLATIVO 9 gennaio 2026, n. 5",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2026-01-09;5
4,4,2026-01-20,15,26G00016,"[Conversione  in  legge,  con  modificazioni,  del  decreto-legge   21 novembre 2025, n. 175, recante misure urgenti  in  materia  di  Piano Transizione 5.0 e di produzione  di  energia  da  fonti  rinnovabili. (26G00016)  ]",15,1,gennaio,January,2026,4,LEGGE,0,NO,1,0,,,2026,20-01-2026,,,2026-01-15T00:00:00Z,"LEGGE 15 gennaio 2026, n. 4",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2026-01-15;4
