numeroAtto,numeroAttoAlfanumerico,dataGU,numeroGU,codiceRedazionale,titoloAtto,giornoProvvedimento,meseProvvedimento,meseProvvedimentoIta,meseProvvedimentoEng,annoProvvedimento,numeroProvvedimento,denominazioneAtto,numeroSupplemento,tipoSupplemento,suffissoArticoloSelezionato,subArt1ArticoloSelezionato,hlTitoli,hlArticoli,annoDataGU,dataGUStr,tipoSupplementoIt,tipoSupplementoEn,dataEmanazione,descrizioneAtto,dataUltimaModifica,ultimiAttiModificanti,normattiva_uri,atti_aggiornati,atti_correlati,lavori_preparatori,aggiornamenti_atto,note_atto,relazioni,aggiornamenti_titolo,aggiornamenti_struttura,atti_parlamentari,atti_attuativi
12,12,2026-02-04,28,26G00029,"[Regolamento  recante  modifiche  al  decreto  del  Presidente   della Repubblica 1° febbraio 2010, n. 76, concernente la  struttura  ed  il funzionamento  dell'Agenzia  nazionale  di  valutazione  del  sistema universitario e della ricerca (ANVUR). (26G00029)  ]",7,1,gennaio,January,2026,12,DECRETO DEL PRESIDENTE DELLA REPUBBLICA,0,NO,1,0,,,2026,04-02-2026,,,2026-01-07T00:00:00Z,"DECRETO DEL PRESIDENTE DELLA REPUBBLICA 7 gennaio 2026, n. 12",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto:presidente:repubblica:2026-01-07;12,,,,,,,,,,
11,11,2026-02-04,28,26G00025,[Disposizioni per la revisione  dei  servizi  per  i  cittadini  e  le imprese all'estero. (26G00025)  ],19,1,gennaio,January,2026,11,LEGGE,0,NO,1,0,,,2026,04-02-2026,,,2026-01-19T00:00:00Z,"LEGGE 19 gennaio 2026, n. 11",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2026-01-19;11,,,,,,,,,,
10,10,2026-01-30,24,26G00022,[Testo unico delle disposizioni legislative in materia di imposta  sul valore aggiunto. (26G00022)  ],19,1,gennaio,January,2026,10,DECRETO LEGISLATIVO,4,SO,1,0,,,2026,30-01-2026, - Suppl. Ordinario n. 4, - Ordinary Suppl. n. 4,2026-01-19T00:00:00Z,"DECRETO LEGISLATIVO 19 gennaio 2026, n. 10",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2026-01-19;10,,"https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2023-08-14&atto.codiceRedazionale=23G00122
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2023-12-28&atto.codiceRedazionale=23G00222
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2023-12-30&atto.codiceRedazionale=23G00228
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-01-03&atto.codiceRedazionale=24G00003
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-01-03&atto.codiceRedazionale=24G00001
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-01-03&atto.codiceRedazionale=24G00002
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-01-12&atto.codiceRedazionale=24G00007
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-02-21&atto.codiceRedazionale=24G00026
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-04-03&atto.codiceRedazionale=24G00060
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-06-28&atto.codiceRedazionale=24G00103
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-08-05&atto.codiceRedazionale=24G00127
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-08-07&atto.codiceRedazionale=24G00128
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-10-02&atto.codiceRedazionale=24G00157
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-10-03&atto.codiceRedazionale=24G00156
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-11-28&atto.codiceRedazionale=24G00191
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-11-28&atto.codiceRedazionale=24G00192
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-11-28&atto.codiceRedazionale=24G00193
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-12-16&atto.codiceRedazionale=24G00214
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-03-26&atto.codiceRedazionale=25G00044
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-04-04&atto.codiceRedazionale=25G00052
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-04-24&atto.codiceRedazionale=25G00065
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-05-15&atto.codiceRedazionale=25G00077
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-06-12&atto.codiceRedazionale=25G00090
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-08-12&atto.codiceRedazionale=25G00124
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-12-12&atto.codiceRedazionale=25G00194
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-12-19&atto.codiceRedazionale=25G00202
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-12&atto.codiceRedazionale=26G00012",,,,,,,https://www.senato.it/uri-res/N2Ls?urn:senato-it:parlamento:scheda.atto.governo:senato;19.legislatura;293,
9,9,2026-01-27,21,26G00024,[Disposizioni in  materia  di  sicurezza  delle  attivita'  subacquee. (26G00024)  ],26,1,gennaio,January,2026,9,LEGGE,0,NO,1,0,,,2026,27-01-2026,,,2026-01-26T00:00:00Z,"LEGGE 26 gennaio 2026, n. 9",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2026-01-26;9,,,"http://www.senato.it/uri-res/N2Ls?urn:senato-it:parl:ddl:senato;19.legislatura;1462
http://www.camera.it/uri-res/N2Ls?urn:camera-it:parlamento:scheda.progetto.legge:camera;19.legislatura;2521",,,,,,,
8,8,2026-01-27,21,26G00023,"[Conversione  in  legge,  con  modificazioni,  del  decreto-legge   1° dicembre 2025, n. 180,  recante  misure  urgenti  per  assicurare  la continuita' operativa degli stabilimenti ex ILVA (26G00023)  ]",22,1,gennaio,January,2026,8,LEGGE,0,NO,1,0,,,2026,27-01-2026,,,2026-01-22T00:00:00Z,"LEGGE 22 gennaio 2026, n. 8",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2026-01-22;8,https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-12-01&atto.codiceRedazionale=25G00188,https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-12-01&atto.codiceRedazionale=25G00188,"http://www.senato.it/uri-res/N2Ls?urn:senato-it:parl:ddl:senato;19.legislatura;1731
http://www.camera.it/uri-res/N2Ls?urn:camera-it:parlamento:scheda.progetto.legge:camera;19.legislatura;2761",,,,,,,
7,7,2026-01-26,20,26G00020,"[Ratifica ed esecuzione dell'Accordo tra il Governo  della  Repubblica italiana e il Governo del Regno del Bahrein  sulla  cooperazione  nei settori  della  cultura,  dell'istruzione,   della   scienza,   della tecnologia e dell'informazione, fatto a  Roma  il  4  febbraio  2020. (26G00020)  ]",13,1,gennaio,January,2026,7,LEGGE,0,NO,1,0,,,2026,26-01-2026,,,2026-01-13T00:00:00Z,"LEGGE 13 gennaio 2026, n. 7",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2026-01-13;7,,,"http://www.camera.it/uri-res/N2Ls?urn:camera-it:parlamento:scheda.progetto.legge:camera;19.legislatura;1451
http://www.senato.it/uri-res/N2Ls?urn:senato-it:parl:ddl:senato;19.legislatura;1645",,,,,,,
6,6,2026-01-23,18,26G00017,"[Ratifica  ed  esecuzione  dell'Accordo  di  cooperazione   culturale, scientifica e tecnica tra il Governo della Repubblica italiana  e  il Governo della Repubblica del Camerun, fatto a Yaounde'  il  17  marzo 2016. (26G00017)  ]",13,1,gennaio,January,2026,6,LEGGE,0,NO,1,0,,,2026,23-01-2026,,,2026-01-13T00:00:00Z,"LEGGE 13 gennaio 2026, n. 6",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2026-01-13;6,,,"http://www.camera.it/uri-res/N2Ls?urn:camera-it:parlamento:scheda.progetto.legge:camera;19.legislatura;1501
http://www.senato.it/uri-res/N2Ls?urn:senato-it:parl:ddl:senato;19.legislatura;1646",,,,,,,
5,5,2026-01-20,15,26G00018,"[Attuazione della direttiva (UE) 2023/2413 del  Parlamento  europeo  e del Consiglio, del 18 ottobre 2023, che modifica  la  direttiva  (UE) 2018/2001, il regolamento (UE) 2018/1999 e la direttiva  n.  98/70/CE per quanto riguarda la promozione dell'energia da fonti rinnovabili e che abroga la direttiva (UE) 2015/652 del Consiglio. (26G00018)  ]",9,1,gennaio,January,2026,5,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,20-01-2026,,,2026-01-09T00:00:00Z,"DECRETO LEGISLATIVO 9 gennaio 2026, n. 5",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2026-01-09;5,,"https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-06-25&atto.codiceRedazionale=25G00097
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-11-18&atto.codiceRedazionale=25G00178
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-12-04&atto.codiceRedazionale=25G00191
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-12-11&atto.codiceRedazionale=25G00193
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-12-22&atto.codiceRedazionale=25G00201
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-05&atto.codiceRedazionale=26G00001
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-08&atto.codiceRedazionale=26G00006
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-08&atto.codiceRedazionale=26G00002
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-08&atto.codiceRedazionale=26G00007
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-09&atto.codiceRedazionale=26G00003
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-09&atto.codiceRedazionale=26G00009
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-09&atto.codiceRedazionale=26G00008
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-09&atto.codiceRedazionale=26G00010
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-09&atto.codiceRedazionale=26G00011
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-15&atto.codiceRedazionale=26G00004
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-15&atto.codiceRedazionale=26G00005",,,,,,,https://www.senato.it/uri-res/N2Ls?urn:senato-it:parlamento:scheda.atto.governo:senato;19.legislatura;324,
4,4,2026-01-20,15,26G00016,"[Conversione  in  legge,  con  modificazioni,  del  decreto-legge   21 novembre 2025, n. 175, recante misure urgenti  in  materia  di  Piano Transizione 5.0 e di produzione  di  energia  da  fonti  rinnovabili. (26G00016)  ]",15,1,gennaio,January,2026,4,LEGGE,0,NO,1,0,,,2026,20-01-2026,,,2026-01-15T00:00:00Z,"LEGGE 15 gennaio 2026, n. 4",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2026-01-15;4,"https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2006-04-14&atto.codiceRedazionale=006G0171
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2012-03-15&atto.codiceRedazionale=012G0040
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-03-02&atto.codiceRedazionale=24G00035
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2024-12-12&atto.codiceRedazionale=24G00205
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-11-21&atto.codiceRedazionale=25G00185",https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-11-21&atto.codiceRedazionale=25G00185,"http://www.senato.it/uri-res/N2Ls?urn:senato-it:parl:ddl:senato;19.legislatura;1718
http://www.camera.it/uri-res/N2Ls?urn:camera-it:parlamento:scheda.progetto.legge:camera;19.legislatura;2758",,,,,,,
3,3,2026-01-09,6,26G00011,"[Attuazione della direttiva (UE) 2024/1711 del  Parlamento  europeo  e del Consiglio, del 13 giugno 2024, che  modifica  le  direttive  (UE) 2018/2001 e  (UE)  2019/944  per  quanto  riguarda  il  miglioramento dell'assetto  del   mercato   dell'energia   elettrica   dell'Unione. (26G00011)  ]",7,1,gennaio,January,2026,3,DECRETO LEGISLATIVO,0,NO,1,0,,,2026,09-01-2026,,,2026-01-07T00:00:00Z,"DECRETO LEGISLATIVO 7 gennaio 2026, n. 3",,,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto-legislativo:2026-01-07;3,,"https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-06-25&atto.codiceRedazionale=25G00097
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-11-18&atto.codiceRedazionale=25G00178
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-12-04&atto.codiceRedazionale=25G00191
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-12-11&atto.codiceRedazionale=25G00193
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2025-12-22&atto.codiceRedazionale=25G00201
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-05&atto.codiceRedazionale=26G00001
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-08&atto.codiceRedazionale=26G00006
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-08&atto.codiceRedazionale=26G00002
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-08&atto.codiceRedazionale=26G00007
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-09&atto.codiceRedazionale=26G00003
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-09&atto.codiceRedazionale=26G00009
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-09&atto.codiceRedazionale=26G00008
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-09&atto.codiceRedazionale=26G00010
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-15&atto.codiceRedazionale=26G00004
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-15&atto.codiceRedazionale=26G00005
https://www.normattiva.it/atto/caricaDettaglioAtto?atto.dataPubblicazioneGazzetta=2026-01-20&atto.codiceRedazionale=26G00018",,,,,,,https://www.senato.it/uri-res/N2Ls?urn:senato-it:parlamento:scheda.atto.governo:senato;19.legislatura;318,
